District,District_Code,ELA_Scores,Math_Scores,Total_Per_Pupil_Expenditures,Black,Hispanic,White,Asian,Other,Year,County,Area_Type
The Gilbert School District,9020022,136.0,135.0, ,0.024,0.202,0.68,0.049,0.044,2021-22,,
Thomaston School District,1400011,383.0,381.0,19926,0.013,0.109,0.818,0.021,0.039,2021-22,,
Thompson School District,1410011,421.0,416.0,22498,0.008,0.088,0.866,0.01,0.028,2021-22,,
Tolland School District,1420011,947.0,945.0,18686,0.029,0.097,0.806,0.034,0.033,2021-22,,
Torrington School District,1430011,1836.0,1827.0,21108,0.062,0.384,0.482,0.04,0.027,2021-22,Litchfield,
Trumbull School District,1440011,3074.0,3071.0,18553,0.067,0.19,0.614,0.1,0.027,2021-22,Fairfield,
Union School District,1450011,37.0,37.0,24906,0.0,0.0,0.0,0.0,0.0,2021-22,,
Vernon School District,1460011,1335.0,1334.0,19042,0.104,0.221,0.513,0.077,0.084,2021-22,Tolland,
Voluntown School District,1470011,141.0,141.0,21624,0.0,0.048,0.904,0.0,0.0,2021-22,,
Wallingford School District,1480011,2265.0,2252.0,22692,0.019,0.206,0.687,0.049,0.037,2021-22,New Haven,
Waterbury School District,1510011,8091.0,8055.0,18405,0.212,0.616,0.111,0.015,0.041,2021-22,New Haven,
Waterford School District,1520011,1031.0,1027.0,22800,0.024,0.145,0.721,0.049,0.055,2021-22,New London,
Watertown School District,1530011,1181.0,1180.0,20249,0.036,0.108,0.798,0.015,0.039,2021-22,Litchfield,
West Hartford School District,1550011,3997.0,3982.0,20704,0.082,0.204,0.547,0.103,0.06,2021-22,Hartford,
West Haven School District,1560011,2566.0,2551.0,17401,0.24,0.397,0.265,0.048,0.047,2021-22,New Haven,
Westbrook School District,1540011,236.0,236.0,31330,0.0,0.271,0.687,0.019,0.0,2021-22,,
Weston School District,1570011,981.0,981.0,26281,0.0,0.087,0.763,0.062,0.073,2021-22,,
Westport School District,1580011,2379.0,2375.0,25576,0.0,0.079,0.763,0.066,0.07,2021-22,Fairfield,
Wethersfield School District,1590011,1620.0,1616.0,18723,0.047,0.208,0.646,0.053,0.043,2021-22,Hartford,
Willington School District,1600011,259.0,259.0,24707,0.025,0.098,0.829,0.0,0.03,2021-22,,
Wilton School District,1610011,1634.0,1629.0,24229,0.009,0.066,0.749,0.112,0.063,2021-22,,
Winchester School District,1620011,320.0,320.0,22293,0.026,0.144,0.779,0.015,0.033,2021-22,,
Windham School District,1630011,1518.0,1509.0,22599,0.032,0.727,0.21,0.007,0.02,2021-22,Windham,
Windsor Locks School District,1650011,666.0,665.0,23010,0.128,0.179,0.565,0.059,0.063,2021-22,Hartford,
Windsor School District,1640011,1373.0,1357.0,21646,0.399,0.246,0.225,0.037,0.09,2021-22,Hartford,
Wolcott School District,1660011,952.0,950.0,18138,0.038,0.153,0.749,0.025,0.032,2021-22,,
Woodbridge School District,1670011,469.0,471.0,19918,0.0,0.071,0.659,0.151,0.092,2021-22,,
Woodstock School District,1690011,509.0,509.0,18413,0.008,0.05,0.882,0.0,0.048,2021-22,,
Goodwin University Educational Services (GUES),2310018,377.0,377.0,17580,0.0,0.132,0.793,0.012,0.0,2021-22,,
Achievement First Bridgeport Academy District,2850013,548.0,542.0,14219,0.513,0.446,0.019,0.009,0.045,2022-23,Fairfield,
Achievement First Hartford Academy District,2880013,516.0,514.0,15747,0.749,0.22,0.0,0.0,0.016,2022-23,Hartford,
Amistad Academy District,2790013,543.0,538.0,14184,0.603,0.355,0.013,0.0,0.019,2022-23,New Haven,
Andover School District,10011,82.0,82.0,22832,0.0,0.127,0.838,0.0,0.0,2022-23,Tolland,Suburban
Ansonia School District,20011,1070.0,1063.0,18865,0.208,0.464,0.253,0.021,0.0,2022-23,New Haven,Urban
Area Cooperative Educational Services,2440014,1127.0,1110.0,49216,0.334,0.328,0.255,0.022,0.056,2022-23,New Haven,Suburban
Ashford School District,30011,222.0,221.0,24046,0.022,0.087,0.829,0.022,0.041,2022-23,Windham,Suburban
Avon School District,40011,1452.0,1451.0,20828,0.055,0.078,0.631,0.189,0.044,2022-23,Hartford,
Barkhamsted School District,50011,105.0,105.0,22595,0.0,0.0,0.895,0.0,0.057,2022-23,,
Berlin School District,70011,1158.0,1152.0,21295,0.027,0.123,0.779,0.04,0.029,2022-23,Hartford,
Bethany School District,80011,244.0,243.0,18782,0.023,0.086,0.788,0.084,0.0,2022-23,,
Bethel School District,90011,1436.0,1435.0,18533,0.044,0.248,0.58,0.074,0.037,2022-23,Fairfield,
Bloomfield School District,110011,764.0,762.0,22782,0.674,0.166,0.088,0.022,0.045,2022-23,Hartford,
Bolton School District,120011,314.0,310.0,20685,0.054,0.102,0.774,0.019,0.05,2022-23,Tolland,
Booker T. Washington Academy District,2950013,270.0,269.0,14570,0.818,0.153,0.0,0.0,0.018,2022-23,New Haven,
Bozrah School District,130011,95.0,95.0,26390,0.0,0.153,0.753,0.0,0.076,2022-23,,
Branford School District,140011,1148.0,1147.0,23954,0.039,0.158,0.683,0.065,0.053,2022-23,,
Brass City Charter School District,2900013,213.0,212.0,16231,0.328,0.525,0.05,0.033,0.064,2022-23,,
Bridgeport School District,150011,8511.0,8491.0,18565,0.291,0.574,0.089,0.02,0.019,2022-23,Fairfield,
Bristol School District,170011,3351.0,3331.0,19999,0.076,0.367,0.466,0.033,0.057,2022-23,Hartford,
Brookfield School District,180011,1101.0,1094.0,20222,0.029,0.155,0.722,0.074,0.012,2022-23,Fairfield,
Brooklyn School District,190011,540.0,540.0,17977,0.0,0.114,0.791,0.021,0.053,2022-23,Windham,
Canaan School District,210011,46.0,46.0,35047,0.0,0.0,0.889,0.0,0.0,2022-23,,
Canterbury School District,220011,285.0,285.0,18889,0.0,0.11,0.863,0.0,0.021,2022-23,,
Canton School District,230011,681.0,679.0,20770,0.066,0.079,0.802,0.0,0.029,2022-23,Hartford,
Capital Preparatory Harbor School District,2970013,373.0,373.0,14059,0.671,0.311,0.0,0.0,0.0,2022-23,,
Capitol Region Education Council,2410014,3491.0,3453.0,27713,0.31,0.427,0.157,0.048,0.056,2022-23,,
Chaplin School District,240011,71.0,71.0,26865,0.0,0.083,0.826,0.0,0.049,2022-23,Windham,
Cheshire School District,250011,1840.0,1836.0,19658,0.0,0.059,0.901,0.0,0.0,2022-23,New Haven,
Chester School District,260011,124.0,124.0,24162,0.0,0.059,0.901,0.0,0.0,2022-23,,
Clinton School District,270011,609.0,608.0,24251,0.0,0.222,0.715,0.033,0.019,2022-23,Middlesex,
Colchester School District,280011,912.0,912.0,19832,0.019,0.09,0.819,0.02,0.049,2022-23,New London,
Colebrook School District,290011,50.0,50.0,31759,0.0,0.0,0.931,0.0,0.0,2022-23,,
Columbia School District,300011,299.0,297.0,19937,0.0,0.108,0.838,0.0,0.037,2022-23,,
Cooperative Educational Services,2430014,287.0,287.0,20125,0.224,0.4,0.275,0.045,0.05,2022-23,,
